id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
1630719275345530880,2023-02-28 23:59:07+00:00,1630719275345530880,"⚽ EN VIVO | ⏱ 90'+4 ¡Final del partido en Asunción! 

🇵🇾 Cerro Porteño (1): 1
🇨🇱 Curicó Unido (0): 0

👉 https://t.co/iYaIuvz8mr https://t.co/zqqu8weXKQ",0,1,0,0,http://bit.ly/3KF6liq,es,False,,adnradiochile,0.185619,0.738052,0.076329,NEU
1630717484352561152,2023-02-28 23:52:00+00:00,1630717484352561152,"Patricia Núñez renuncia al directorio de Codelco tras dos años

https://t.co/uvDr4B9XEj",0,4,1,0,https://www.adnradio.cl/nacional/2023/02/28/patricia-nunez-renuncia-al-directorio-de-codelco-tras-dos-anos.html,es,False,,adnradiochile,0.754727,0.209079,0.036194,NEG
1630715722841088002,2023-02-28 23:45:00+00:00,1630715722841088002,"Gente situación de calle: delegada presidencial profundizó en la intervención sobre zonas críticas

https://t.co/FnsYLPZiFv",1,6,2,1,https://www.adnradio.cl/nacional/2023/02/28/gente-situacion-de-calle-delegada-presidencial-profundizo-en-la-intervencion-sobre-zonas-criticas.html,es,False,,adnradiochile,0.206777,0.677806,0.115417,NEU
1630713961225265153,2023-02-28 23:38:00+00:00,1630713961225265153,"Bono Marzo 2023: revisa si eres parte de la segunda nómina de beneficiarios

https://t.co/0qvcpfFNa3",0,0,0,0,https://www.adnradio.cl/servicios/2023/02/28/bono-marzo-2023-revisa-si-eres-parte-de-la-segunda-nomina-de-beneficiarios.html,es,False,,adnradiochile,0.083277,0.794475,0.122247,NEU
1630712199617597440,2023-02-28 23:31:00+00:00,1630712199617597440,Nico Jarry no aceptó sorpresas y avanzó a la siguiente ronda del Chile Open 2023 https://t.co/dpMRIn562N,0,6,0,0,https://www.adnradio.cl/tenis/2023/02/28/nico-jarry-no-acepto-sorpresas-y-avanzo-a-la-siguiente-ronda-del-chile-open-2023.html,es,False,,adnradiochile,0.12848,0.716216,0.155304,NEU
1630710438148153350,2023-02-28 23:24:00+00:00,1630710438148153350,Recoleta se impone ante Universidad de Concepción con sufrida victoria por la Primera B https://t.co/9cKm5LD43y,0,0,1,0,https://www.adnradio.cl/futbol/2023/02/28/recoleta-se-impone-ante-universidad-de-concepcion-con-sufrida-victoria-por-la-primera-b.html,es,False,,adnradiochile,0.175548,0.632623,0.191829,NEU
1630708676326756353,2023-02-28 23:17:00+00:00,1630708676326756353,Santiago Morning derrotó a San Marcos de Arica en el cierre de la tercera jornada de la Primera B https://t.co/Gvx6ThL62A,0,0,0,0,https://www.adnradio.cl/futbol/2023/02/28/santiago-morning-derroto-a-san-marcos-de-arica-en-el-cierre-de-la-tercera-jornada-de-la-primera-b.html,ca,False,,adnradiochile,0.107662,0.64633,0.246008,NEU
1630708425406521346,2023-02-28 23:16:00+00:00,1630708425406521346,"⚽ EN VIVO | ⏱ 51' ¡Gol de Cerro Porteño! Robert Morales con un cabezazo abre el marcador para el local.

🇵🇾 Cerro Porteño (1): 1
🇨🇱 Curicó Unido (0): 0

👉 https://t.co/iYaIuvyAwT https://t.co/bsdNRAPh9y",1,0,0,0,http://bit.ly/3KF6liq,es,False,,adnradiochile,0.188893,0.721208,0.089899,NEU
1630706914781741056,2023-02-28 23:10:00+00:00,1630706914781741056,"Estados Unidos: descubren en supermercado un insecto gigantesco de la era de los dinosaurios

https://t.co/rId0kfBsn9",2,4,0,0,https://www.adnradio.cl/internacional/2023/02/28/estados-unidos-descubren-en-supermercado-un-insecto-gigantesco-de-la-era-de-los-dinosaurios.html,es,False,,adnradiochile,0.336844,0.49492,0.168236,NEU
1630706814240038912,2023-02-28 23:09:36+00:00,1630706814240038912,"⚽ EN VIVO | ⏱ 45' ¡Comienza el complemento en Asunción!

🇵🇾 Cerro Porteño (1): 0
🇨🇱 Curicó Unido (0): 0

📲 Lo sigues en vivo junto al equipo de ADN Deportes 👉 https://t.co/iYaIuvyAwT https://t.co/4jo5vUhKYd",0,2,0,0,http://bit.ly/3KF6liq,es,False,,adnradiochile,0.158746,0.759122,0.082132,NEU
1630705153425948672,2023-02-28 23:03:00+00:00,1630705153425948672,"Retorno a clases: ¿en qué fijarse a la hora de contratar un transporte escolar?

https://t.co/Vx0QPZ9q9T",0,2,0,0,https://www.adnradio.cl/nacional/2023/02/28/retorno-a-clases-en-que-fijarme-para-contratar-transporte-escolar.html,es,False,,adnradiochile,0.138064,0.788946,0.072991,NEU
1630703391633559555,2023-02-28 22:56:00+00:00,1630703391633559555,"Metro tuvo que suspender el servicio en Línea 6 en dos oportunidades por “problemas técnicos”

https://t.co/8HU2e5JiGz",0,2,0,1,https://www.adnradio.cl/nacional/2023/02/28/metro-tuvo-que-suspender-el-servicio-en-linea-6-en-dos-oportunidades-por-problemas-tecnicos.html,es,False,,adnradiochile,0.834927,0.148776,0.016297,NEG
1630702615318126592,2023-02-28 22:52:55+00:00,1630702615318126592,"⚽ EN VIVO | ⏱ 45'+7 ¡Final del 1°T en Asunción!

🇵🇾 Cerro Porteño (1): 0
🇨🇱 Curicó Unido (0): 0

👉 https://t.co/iYaIuvyAwT https://t.co/QlXVHqJE6c",1,1,1,0,http://bit.ly/3KF6liq,es,False,,adnradiochile,0.190139,0.733415,0.076446,NEU
1630701630093131777,2023-02-28 22:49:00+00:00,1630701630093131777,"Alerta Sanitaria: seremi de Salud en Los Lagos se refiere al tifus de los matorrales

https://t.co/GISwCHti64",0,1,0,0,https://www.adnradio.cl/salud/2023/02/28/alerta-sanitaria-seremi-de-salud-en-los-lagos-se-refiere-al-tifus-de-los-matorrales.html,es,False,,adnradiochile,0.538485,0.417785,0.04373,NEG
1630699868392914947,2023-02-28 22:42:00+00:00,1630699868392914947,"Caso Tomás Bravo: para el 10 de marzo queda fijada audiencia de cierre de causa contra el tío abuelo del menor

https://t.co/2OevH4Pbnl",1,0,2,0,https://www.adnradio.cl/nacional/2023/02/28/caso-tomas-bravo-para-el-10-de-marzo-queda-fijada-audiencia-de-cierre-de-causa-contra-el-tio-abuelo-del-menor.html,es,False,,adnradiochile,0.135698,0.763066,0.101237,NEU
1630698877610336256,2023-02-28 22:38:03+00:00,1630698877610336256,"⚽ EN VIVO | ⏱ 37' ¡Lo falló Churín! El delantero mandó la pelota al palo y todo sigue igual en Asunción.

🇵🇾 Cerro Porteño (1): 0
🇨🇱 Curicó Unido (0): 0

👉 https://t.co/iYaIuvyAwT https://t.co/CUa1zoMx6d",0,0,0,0,http://bit.ly/3KF6liq,es,False,,adnradiochile,0.316938,0.639051,0.044011,NEU
1630698106739396614,2023-02-28 22:35:00+00:00,1630698106739396614,"""La cancha está bastante mala"": Las críticas del italiano Fabio Fognini tras quedar eliminado del Chile Open 2023 https://t.co/ZK5sNw48Xl",0,2,1,0,https://www.adnradio.cl/futbol/2023/02/28/la-cancha-esta-bastante-mala-las-criticas-de-fabio-fognini-tras-quedar-eliminado-del-chile-open-2023.html,es,False,,adnradiochile,0.948503,0.044448,0.007049,NEG
1630698015261442049,2023-02-28 22:34:38+00:00,1630698015261442049,"⚽ EN VIVO | ⏱ 33' ¡Hay penal para Cerro Porteño! El juez Roldán, tras revisar el VAR, interpreta falta de Augusto Barrios. 

🇵🇾 Cerro Porteño (1): 0
🇨🇱 Curicó Unido (0): 0

👉 https://t.co/iYaIuvyAwT https://t.co/ededStEc9e",0,3,3,0,http://bit.ly/3KF6liq,es,False,,adnradiochile,0.214694,0.730024,0.055282,NEU
1630696345102176259,2023-02-28 22:28:00+00:00,1630696345102176259,"Sujeto intenta atropellar a carabinero en automóvil robado para evitar un control policial

https://t.co/8PxN0ipo9d",8,1,1,0,https://www.adnradio.cl/policial/2023/02/28/sujeto-intenta-atropellar-a-carabinero-en-automovil-robado-para-evitar-un-control-policial.html,es,False,,adnradiochile,0.548926,0.353534,0.09754,NEG
1630694583687323650,2023-02-28 22:21:00+00:00,1630694583687323650,"Bono Asistencia Escolar 2023: requisitos y monto a recibir

https://t.co/76wbZXDuTV",2,0,0,0,https://www.adnradio.cl/servicios/2023/02/28/bono-asistencia-escolar-2023-requisitos-y-monto-a-recibir.html,es,False,,adnradiochile,0.083653,0.750758,0.165589,NEU
1630692821735981056,2023-02-28 22:14:00+00:00,1630692821735981056,"Niño de 12 años atropella a persona tras hacer funcionar bus de pasajeros

https://t.co/kj9jr9lcfB",1,2,0,1,https://www.adnradio.cl/nacional/2023/02/28/nino-de-12-anos-atropella-a-persona-tras-hacer-funcionar-bus-de-pasajeros.html,es,False,,adnradiochile,0.714588,0.229346,0.056066,NEG
1630691060442603520,2023-02-28 22:07:00+00:00,1630691060442603520,VIDEO | Presidente Boric responde a transeúnte que le pidió la renuncia https://t.co/mxNxSrMUtf,82,1045,295,40,http://adnradio.cl/politica/2023/02/28/presidente-boric-responde-a-transeunte-que-le-pidio-la-renuncia.html,es,False,,adnradiochile,0.489357,0.42128,0.089363,NEG
1630689558927925251,2023-02-28 22:01:02+00:00,1630689558927925251,"⚽ EN VIVO | ⏱ 1' ¡Arranca el partido en Asunción!

🇵🇾 Cerro Porteño (1): 0
🇨🇱 Curicó Unido (0): 0

📲 Lo sigues en vivo junto al equipo de ADN Deportes 👉 https://t.co/iYaIuvyAwT https://t.co/midEIBRKXG",0,5,0,0,http://bit.ly/3KF6liq,es,False,,adnradiochile,0.167737,0.751396,0.080867,NEU
1630689308947480580,2023-02-28 22:00:02+00:00,1630689308947480580,VIDEO | Graban a Gavi del Barcelona haciendo un gesto obsceno contra hinchas de Almería en pleno partido https://t.co/9mXLcjHquA,1,2,0,0,https://www.adnradio.cl/futbol/2023/02/28/graban-a-figura-del-barcelona-haciendo-un-gesto-obsceno-contra-hinchas-del-almeria-en-pleno-partido.html,es,False,,adnradiochile,0.819285,0.143758,0.036957,NEG
1630685775422709760,2023-02-28 21:46:00+00:00,1630685775422709760,"“Queremos ser mamás”: María Jimena Pereyra y su objetivo en la celebración de su quinto aniversario de matrimonio

https://t.co/3mwdKuHn2N",1,96,28,4,https://www.adnradio.cl/espectaculos/2023/02/28/queremos-ser-mamas-maria-jimena-pereyra-y-su-objetivo-en-la-celebracion-de-su-quinto-aniversario-de-matrimonio.html,es,False,,adnradiochile,0.056236,0.31935,0.624414,POS
1630684013693386752,2023-02-28 21:39:00+00:00,1630684013693386752,"NBA: los Knicks derrotaron a los Celtics y sumaron su sexta victoria consecutiva

https://t.co/c1lvHgFdv9",0,2,0,0,https://www.adnradio.cl/basketball/2023/02/28/nba-los-knicks-derrotaron-a-los-celtics-y-sumaron-su-sexta-victoria-consecutiva.html,es,False,,adnradiochile,0.075419,0.482276,0.442305,NEU
